Keyword,LinkedIn,Indeed,SimplyHired,Monster,LinkedIn %,Indeed %,SimplyHired %,Monster %,Avg %,GlassDoor Self Reported % 2017,Difference
Python,"6,347","3,818","2,888","2,544",74%,74%,75%,68%,73%,72%,1%
R,"4,553","3,106","2,393","2,365",53%,60%,62%,63%,60%,64%,-4%
SQL,"3,879","2,628","2,056","1,841",45%,51%,54%,49%,50%,51%,-1%
Spark,"2,169","1,551","1,167","1,062",25%,30%,30%,28%,29%,27%,2%
Hadoop,"2,142","1,578","1,164","1,200",25%,31%,30%,32%,30%,39%,-9%
Java,"1,944","1,377","1,059","1,002",23%,27%,28%,27%,26%,33%,-7%
SAS,"1,713","1,134",910,978,20%,22%,24%,26%,23%,30%,-7%
Tableau,"1,216","1,012",780,744,14%,20%,20%,20%,19%,14%,5%
Hive,"1,182",830,637,619,14%,16%,17%,17%,16%,17%,-1%
Scala,"1,040",739,589,520,12%,14%,15%,14%,14%,,
C++,"1,024",765,580,439,12%,15%,15%,12%,13%,,
AWS,947,791,607,467,11%,15%,16%,12%,14%,,
TensorFlow,844,661,501,385,10%,13%,13%,10%,12%,,
Matlab,806,677,544,419,9%,13%,14%,11%,12%,20%,-8%
C,795,492,384,523,9%,10%,10%,14%,11%,,
Excel,701,569,438,397,8%,11%,11%,11%,10%,,
Linux,601,517,364,303,7%,10%,10%,8%,9%,,
NoSQL,598,436,387,362,7%,8%,10%,10%,9%,,
Azure,578,416,285,272,7%,8%,7%,7%,7%,,
Scikit-learn,474,402,294,212,6%,8%,8%,6%,7%,,
SPSS,452,330,273,202,5%,6%,7%,5%,6%,,
Pandas,421,330,282,175,5%,6%,7%,5%,6%,,
Numpy,387,257,232,152,4%,5%,6%,4%,5%,,
Pig,367,296,231,256,4%,6%,6%,7%,6%,,
D3,353,149,113,95,4%,3%,3%,3%,3%,,
Keras,329,253,205,131,4%,5%,5%,3%,4%,,
Javascript,328,245,214,224,4%,5%,6%,6%,5%,,
C# ,324,245,182,219,4%,5%,5%,6%,5%,,
Perl,309,258,202,198,4%,5%,5%,5%,5%,,
Hbase,302,219,167,138,4%,4%,4%,4%,4%,,
Docker,290,240,148,194,3%,5%,4%,5%,4%,,
Git,282,261,186,145,3%,5%,5%,4%,4%,,
MySQL,278,233,187,121,3%,5%,5%,3%,4%,,
MongoDB,251,196,165,116,3%,4%,4%,3%,4%,,
Cassandra,236,174,146,136,3%,3%,4%,4%,3%,,
PyTorch,214,143,131,98,2%,3%,3%,3%,3%,,
Caffe,206,149,113,96,2%,3%,3%,3%,3%,,
,,,,,,,,,,,
Total,"38,882","27,477","21,204","19,350",,,,,,,
,,,,,,,,,,,
"""data scientist"" alone","8,610","5,138","3,829","3,746",,,,,,,
,,,,,,,,,,,
"""data scientist"" ""[keyword]""",,,,,,,,,,,
"Oct. 10, 2018",,,,,,,,,,,
